Flight_Date,Airline_Code,Origin_Airport,Destination_Airport,Scheduled_Departure,Actual_Departure,Departure_Delay,Scheduled_Arrival,Actual_Arrival,Arrival_Delay,Cancelled,Cancellation_Reason
2025-06-22,Etihad,HND,ORD,0027,0206,99,0120,0300,100,0,
2024-10-29,Singapore Airlines,ICN,DXB,1947,1947,0,1113,1141,28,0,
2024-11-20,British Airways,SYD,ICN,0707,0804,57,2149,2309,80,0,
2025-03-07,British Airways,DOH,SFO,1828,1949,81,1036,1202,86,0,
2025-07-01,Qatar Airways,SYD,BKK,0655,0848,113,0030,0241,131,0,
2025-01-07,Delta,DXB,CDG,1043,1110,27,1843,1920,37,0,
2024-09-12,FlyDubai,ICN,LAX,0543,0704,81,1336,1518,102,0,
2025-05-04,Lufthansa,SYD,CDG,1420,1509,49,2117,2207,50,0,
2025-06-09,Emirates,PEK,LHR,0130,0150,20,1547,1557,10,0,
2025-05-12,American Airlines,DOH,LAX,1608,1749,101,2224,0030,126,0,
2024-10-04,Etihad,DXB,SIN,0144,0234,50,0035,0121,46,0,
2025-07-20,Lufthansa,DEL,SIN,1402,1510,68,2127,2235,68,0,
2025-08-14,Air India,DFW,ORD,0001,0134,93,0549,0713,84,0,
2025-08-25,Air India,SFO,KWI,1828,2010,102,0951,1143,112,0,
2025-03-12,FlyDubai,KWI,BKK,0139,0146,7,0535,0601,26,0,
2025-02-19,British Airways,DXB,DEL,0439,0540,61,0814,0922,68,0,
2025-02-22,Emirates,BOM,SIN,1852,2014,82,1632,1817,105,0,
2024-12-11,Delta,ICN,AUH,0916,1018,62,0144,0255,71,0,
2025-07-12,Emirates,SIN,ORD,0428,0458,30,2020,2118,58,0,
2025-04-10,Singapore Airlines,LAX,JFK,1123,1306,103,0654,0904,130,1,Security
2025-07-06,Etihad,HND,DEL,0414,0603,109,2008,2156,108,0,
2025-05-04,Emirates,BKK,ICN,1352,1532,100,0957,1155,118,0,
2024-12-24,Delta,LAX,AUH,1629,1620,-9,1112,1101,-11,0,
2025-07-18,Emirates,HND,DOH,0035,0041,6,0308,0309,1,0,
2025-05-19,Emirates,FRA,DFW,0055,0154,59,2215,2313,58,0,
2024-11-07,Emirates,PEK,SFO,2121,2128,7,2121,2150,29,0,
2025-03-30,Emirates,SIN,DFW,1422,1452,30,1154,1247,53,0,
2024-11-14,Etihad,SIN,KWI,1949,2001,12,2108,2130,22,0,
2025-03-29,Etihad,DOH,DEL,0839,1030,111,1733,1919,106,0,
2024-11-29,Etihad,CDG,DFW,0019,0050,31,2244,2343,59,0,
2025-07-21,Delta,DFW,ICN,0157,0300,63,1919,2030,71,0,
2025-08-20,Lufthansa,CDG,KWI,0841,1039,118,2153,0019,146,0,
2024-10-16,Emirates,DEL,HND,1512,1706,114,0714,0910,116,1,Technical
2025-07-29,Singapore Airlines,SFO,LHR,0501,0514,13,0922,0956,34,0,
2025-04-26,FlyDubai,AUH,SYD,2239,2243,4,0507,0525,18,0,
2025-03-06,Etihad,SFO,ICN,1909,1938,29,2138,2214,36,0,
2025-03-17,Air India,HND,DXB,0111,0234,83,1214,1354,100,0,
2025-04-26,American Airlines,DFW,SIN,0335,0403,28,2137,2214,37,0,
2025-01-13,Delta,ICN,FRA,1703,1754,51,2243,2325,42,0,
2025-02-19,FlyDubai,FRA,BKK,1412,1425,13,1829,1842,13,0,
2024-10-13,Emirates,HND,LAX,1802,1853,51,1015,1122,67,0,
2024-11-07,Etihad,AUH,FRA,1437,1512,35,1422,1523,61,0,
2025-03-11,Etihad,ICN,AUH,1045,1132,47,0522,0605,43,0,
2025-06-13,Air India,PEK,SFO,0642,0658,16,1226,1306,40,0,
2025-05-14,Lufthansa,DFW,CDG,1231,1252,21,1826,1840,14,0,
2025-06-08,British Airways,DEL,ICN,1237,1324,47,1317,1433,76,0,
2025-01-05,Delta,LHR,ICN,0628,0640,12,0740,0807,27,0,
2024-10-20,Singapore Airlines,AUH,HND,1631,1735,64,1657,1824,87,0,
2025-05-08,American Airlines,BOM,JFK,1508,1702,114,2200,2356,116,0,
2025-06-14,FlyDubai,LAX,AUH,0605,0653,48,1258,1336,38,0,
2024-10-30,Lufthansa,SYD,ORD,1419,1440,21,0452,0539,47,0,
2024-10-23,American Airlines,LHR,JFK,0313,0345,32,1756,1821,25,0,
2024-11-05,Air India,DFW,BOM,0715,0846,91,0230,0411,101,0,
2024-10-30,Emirates,ICN,KWI,1543,1615,32,2248,2328,40,0,
2025-08-03,Etihad,DXB,SIN,1616,1651,35,1318,1407,49,0,
2025-06-05,American Airlines,SFO,LAX,0431,0414,-17,0455,0444,-11,0,
2025-04-11,Air India,LAX,CDG,2107,2213,66,1520,1620,60,0,
2024-09-16,Qatar Airways,SYD,DOH,0305,0400,55,0629,0751,82,0,
2025-05-23,FlyDubai,BKK,PEK,1325,1325,0,1004,0959,-5,0,
2025-06-17,British Airways,HND,DOH,2208,2207,-1,1633,1651,18,0,
2025-08-18,American Airlines,ORD,DXB,1055,1225,90,0423,0548,85,0,
2024-08-28,American Airlines,DEL,LAX,1124,1243,79,0954,1117,83,0,
2025-06-24,Lufthansa,SIN,SYD,2016,2059,43,0653,0803,70,0,
2024-10-29,Qatar Airways,DFW,JFK,1032,1119,47,1055,1136,41,0,
2025-07-18,FlyDubai,FRA,SYD,2118,2239,81,2237,0021,104,0,
2025-05-14,Air India,LHR,DOH,1544,1553,9,1722,1727,5,0,
2025-06-08,Emirates,SYD,DXB,1428,1624,116,0628,0832,124,0,
2025-03-26,Air India,JFK,BKK,0845,0950,65,0507,0608,61,0,
2025-05-23,Air India,DFW,ORD,2116,2222,66,0320,0437,77,0,
2024-09-27,British Airways,KWI,SIN,0113,0150,37,1846,1948,62,0,
2024-12-26,Delta,DXB,ICN,0440,0421,-19,1141,1133,-8,0,
2025-07-18,Air India,HND,DXB,2029,2207,98,0933,1135,122,0,
2025-06-11,British Airways,LHR,SYD,0433,0625,112,1915,2132,137,0,
2024-10-08,Emirates,CDG,FRA,0452,0636,104,1706,1903,117,0,
2025-08-25,Emirates,ICN,ORD,0822,0920,58,1522,1620,58,0,
2025-05-27,American Airlines,KWI,SYD,1005,1040,35,0651,0740,49,0,
2025-06-18,FlyDubai,BOM,SIN,0143,0328,105,1119,1314,115,0,
2025-07-02,Delta,AUH,SYD,1207,1308,61,1145,1256,71,0,
2024-10-21,Delta,DFW,AUH,0110,0229,79,1413,1542,89,0,
2025-08-05,Qatar Airways,DEL,FRA,1019,1058,39,1144,1241,57,0,
2024-12-20,American Airlines,BOM,PEK,2100,2234,94,1719,1855,96,0,
2025-03-08,Emirates,DFW,SFO,0651,0641,-10,2055,2112,17,0,
2024-12-23,Lufthansa,JFK,SFO,0350,0425,35,0507,0611,64,0,
2025-08-15,American Airlines,DXB,BKK,0855,1048,113,0155,0340,105,0,
2025-01-31,Air India,HND,LHR,1351,1449,58,2206,2333,87,0,
2024-12-02,FlyDubai,DXB,SIN,1802,1840,38,0504,0602,58,0,
2025-06-09,Air India,PEK,KWI,0108,0213,65,0605,0732,87,0,
2025-02-09,British Airways,AUH,SFO,1945,2019,34,1644,1731,47,0,
2025-08-19,Lufthansa,DOH,BOM,1825,1822,-3,1017,1025,8,0,
2024-10-31,Air India,SYD,DFW,0919,0945,26,0716,0752,36,0,
2024-11-15,Emirates,AUH,LAX,1802,1851,49,1425,1525,60,0,
2025-05-26,British Airways,DXB,DFW,1736,1835,59,0455,0607,72,0,
2024-11-22,Air India,LAX,LHR,0650,0730,40,2058,2200,62,0,
2024-11-30,British Airways,PEK,LHR,1650,1648,-2,1241,1229,-12,0,
2024-09-06,Lufthansa,LHR,SIN,1906,2055,109,1047,1248,121,0,
2024-09-06,British Airways,DFW,ICN,1620,1818,118,0811,1018,127,1,Technical
2024-09-13,FlyDubai,ICN,DFW,0428,0445,17,0036,0109,33,0,
2024-10-11,British Airways,ICN,FRA,1649,1731,42,1653,1802,69,1,Air Traffic
2025-08-09,British Airways,DXB,ORD,1313,1342,29,0320,0348,28,0,
2024-09-25,FlyDubai,LAX,FRA,1327,1401,34,0235,0329,54,0,
2025-02-10,American Airlines,DXB,KWI,0421,0508,47,0553,0642,49,0,
2024-10-02,FlyDubai,ORD,BKK,1502,1554,52,2037,2133,56,0,
2024-09-20,Emirates,KWI,JFK,1233,1315,42,1700,1744,44,0,
2025-02-01,American Airlines,DXB,DOH,1036,1214,98,1706,1908,122,0,
2025-08-19,Lufthansa,DOH,LHR,0531,0702,91,1951,2116,85,0,
2025-01-05,Qatar Airways,ORD,DOH,1904,1904,0,2118,2111,-7,0,
2024-12-10,Etihad,CDG,AUH,1810,1857,47,1512,1621,69,0,
2025-02-01,Qatar Airways,ORD,KWI,0434,0535,61,1021,1136,75,0,
2025-06-05,FlyDubai,SYD,DEL,1643,1625,-18,1930,1938,8,0,
2025-02-14,Delta,DOH,HND,1150,1151,1,0536,0533,-3,0,
2025-03-14,Singapore Airlines,FRA,ORD,0850,1026,96,1902,2033,91,0,
2025-01-24,Lufthansa,BOM,AUH,1347,1507,80,1625,1803,98,0,
2024-09-11,Singapore Airlines,ICN,SYD,1413,1422,9,1024,1052,28,0,
2025-03-10,Singapore Airlines,AUH,ORD,1356,1403,7,0435,0443,8,0,
2025-01-28,Etihad,PEK,CDG,0317,0347,30,0344,0416,32,0,
2025-05-02,American Airlines,ORD,BKK,2039,2021,-18,0635,0614,-21,0,
2025-04-04,Etihad,DEL,HND,1726,1920,114,1936,2150,134,0,
2024-11-07,Etihad,CDG,SYD,0401,0404,3,0736,0729,-7,0,
2025-06-15,British Airways,SYD,HND,0048,0028,-20,0315,0321,6,0,
2025-07-27,Singapore Airlines,SYD,LAX,0546,0547,1,1540,1606,26,0,
2024-12-10,Qatar Airways,CDG,JFK,2239,2346,67,0718,0844,86,0,
2025-05-22,Delta,JFK,SIN,0803,0941,98,1924,2110,106,0,
2025-07-27,Etihad,FRA,DOH,1218,1258,40,1107,1144,37,0,
2025-05-20,Air India,BKK,FRA,2118,2118,0,1439,1504,25,0,
2025-01-30,Air India,BOM,CDG,1123,1321,118,0813,1025,132,0,
2024-11-07,British Airways,DXB,LAX,0655,0821,86,1144,1307,83,0,
2025-03-28,American Airlines,ORD,AUH,0933,0954,21,0232,0302,30,0,
2024-12-30,Lufthansa,ICN,PEK,0512,0623,71,1515,1644,89,0,
2025-02-06,Singapore Airlines,SIN,LHR,0637,0730,53,0005,0100,55,0,
2025-04-28,Etihad,BKK,PEK,2116,2148,32,1934,2021,47,0,
2024-11-27,American Airlines,CDG,HND,0205,0400,115,1819,2005,106,0,
2025-07-09,Lufthansa,BKK,LAX,0430,0437,7,1955,2002,7,0,
2024-12-14,FlyDubai,SYD,DFW,1956,2032,36,0119,0216,57,0,
2025-02-01,Etihad,FRA,BKK,0636,0829,113,0742,0948,126,0,
2025-06-13,FlyDubai,BOM,BKK,1802,1925,83,0526,0710,104,0,
2024-12-05,FlyDubai,ICN,LHR,1243,1347,64,2033,2127,54,0,
2025-08-18,British Airways,DXB,FRA,1308,1315,7,1219,1244,25,0,
2024-10-03,Singapore Airlines,DXB,AUH,0626,0626,0,1432,1459,27,0,
2025-04-26,American Airlines,DXB,DEL,1857,2013,76,1812,1930,78,0,
2024-09-25,Qatar Airways,KWI,JFK,1412,1507,55,0008,0104,56,0,
2025-02-08,Air India,LAX,CDG,0255,0324,29,0530,0607,37,0,
2025-03-15,FlyDubai,KWI,ORD,0853,0948,55,0226,0314,48,0,
2025-08-16,Emirates,SYD,BKK,0106,0056,-10,1007,1025,18,0,
2025-05-23,Etihad,FRA,ICN,0952,0956,4,1050,1120,30,0,
2025-04-15,Delta,ORD,DEL,0731,0857,86,0908,1040,92,0,
2025-03-01,American Airlines,PEK,HND,0810,0902,52,2111,2230,79,0,
2025-06-24,Delta,SFO,BOM,0820,0849,29,0914,0944,30,0,
2024-08-31,Emirates,PEK,ORD,0044,0032,-12,1513,1502,-11,0,
2024-12-19,Emirates,AUH,DFW,0020,0144,84,1918,2101,103,0,
2025-03-03,Etihad,JFK,HND,1830,1921,51,1051,1152,61,0,
2025-02-26,Qatar Airways,DEL,LAX,1347,1432,45,1739,1845,66,0,
2025-07-26,Qatar Airways,PEK,HND,2247,2355,68,1829,1944,75,0,
2025-01-05,Lufthansa,BOM,SFO,1816,1903,47,1845,2001,76,0,
2025-04-25,Delta,PEK,AUH,0442,0640,118,1024,1213,109,0,
2025-04-16,Lufthansa,DXB,SFO,0229,0411,102,0808,1003,115,0,
2024-12-15,FlyDubai,CDG,DXB,1530,1545,15,0533,0558,25,0,
2025-02-19,Singapore Airlines,DEL,BKK,0156,0144,-12,0714,0722,8,0,
2025-05-21,Lufthansa,DXB,LHR,0108,0200,52,1313,1413,60,0,
2024-10-05,American Airlines,DFW,FRA,2135,2130,-5,0935,0958,23,0,
2025-01-17,Etihad,BKK,PEK,1844,1827,-17,0645,0630,-15,0,
2025-07-10,Singapore Airlines,PEK,LAX,0524,0614,50,2020,2108,48,0,
2025-07-01,Lufthansa,LHR,DEL,2016,2039,23,0656,0740,44,0,
2025-08-06,Lufthansa,KWI,DEL,0723,0746,23,0327,0403,36,0,
2024-11-04,Lufthansa,BKK,DXB,0038,0159,81,1330,1458,88,0,
2024-12-01,Etihad,CDG,ICN,1341,1439,58,2201,2314,73,0,
2025-02-04,American Airlines,FRA,LAX,0822,0857,35,1737,1816,39,0,
2025-07-13,Singapore Airlines,SIN,JFK,2127,2209,42,1049,1153,64,0,
2024-11-26,British Airways,AUH,SFO,0602,0723,81,0404,0535,91,0,
2025-05-10,Lufthansa,DXB,ORD,0137,0123,-14,0523,0511,-12,0,
2025-02-21,Emirates,BOM,AUH,0916,0901,-15,2003,2007,4,0,
2025-01-24,Etihad,PEK,CDG,1008,1153,105,1205,1356,111,0,
2024-12-27,Singapore Airlines,LAX,PEK,2145,2223,38,1920,1957,37,0,
2025-03-28,Singapore Airlines,DOH,SIN,0044,0035,-9,0735,0754,19,1,Technical
2025-07-22,Lufthansa,LAX,FRA,1328,1339,11,1430,1433,3,0,
2024-11-27,British Airways,HND,PEK,0154,0344,110,1528,1738,130,1,Staff Issue
2025-02-25,Singapore Airlines,DFW,KWI,1936,2009,33,0006,0106,60,0,
2024-11-04,Etihad,SIN,KWI,0628,0759,91,1716,1914,118,0,
2024-10-30,Lufthansa,BOM,DEL,1929,2045,76,1451,1615,84,0,
2025-08-06,FlyDubai,BOM,DEL,0613,0757,104,0752,0959,127,1,Weather
2025-02-24,Air India,SYD,CDG,0640,0734,54,0337,0442,65,0,
2024-12-10,Qatar Airways,BKK,LHR,1631,1638,7,0801,0825,24,0,
2025-07-29,Lufthansa,SFO,CDG,2015,2046,31,1608,1630,22,0,
2024-08-29,Etihad,ICN,CDG,0844,0850,6,2109,2140,31,0,
2025-04-08,Lufthansa,DXB,DEL,0354,0440,46,0829,0937,68,0,
2024-10-08,Air India,FRA,DOH,1716,1730,14,1524,1547,23,0,
2024-11-09,Emirates,KWI,ORD,1556,1633,37,0137,0237,60,0,
2024-09-15,Air India,BOM,SYD,1033,1203,90,2049,2220,91,0,
2025-03-04,Singapore Airlines,LAX,SYD,2130,2247,77,2242,2354,72,0,
2025-05-17,Qatar Airways,LHR,SIN,0133,0138,5,1817,1841,24,0,
2025-06-14,Lufthansa,DFW,BKK,1644,1651,7,1954,2002,8,0,
2025-07-14,British Airways,HND,DXB,1626,1748,82,1557,1719,82,0,
2025-08-16,Qatar Airways,BOM,DFW,2112,2207,55,0728,0834,66,0,
2024-10-03,Qatar Airways,AUH,SYD,0551,0707,76,2223,2338,75,0,
2025-05-16,FlyDubai,LAX,JFK,0623,0728,65,2125,2229,64,0,
2024-11-06,Lufthansa,LAX,SYD,0212,0236,24,0537,0626,49,0,
2025-06-21,American Airlines,HND,KWI,1555,1746,111,1026,1228,122,0,
2025-08-13,FlyDubai,BKK,ORD,1956,2057,61,1850,1954,64,0,
2025-02-25,American Airlines,CDG,SYD,0503,0549,46,2241,2335,54,0,
2025-08-17,Qatar Airways,JFK,DEL,0213,0314,61,2028,2146,78,0,
2024-10-21,Qatar Airways,PEK,ORD,1255,1330,35,0115,0210,55,0,
2024-12-05,FlyDubai,PEK,DOH,1548,1630,42,0616,0655,39,0,
2025-03-12,Air India,BOM,SFO,0803,0823,20,0018,0050,32,0,
2025-04-07,Emirates,AUH,ORD,0313,0335,22,1645,1719,34,0,
2025-03-23,Qatar Airways,DFW,DXB,1924,2016,52,1011,1110,59,0,
2025-07-05,Air India,SIN,BOM,0653,0812,79,1351,1504,73,0,
2025-01-05,Singapore Airlines,PEK,ICN,0319,0453,94,0429,0606,97,0,
2025-02-14,Air India,LAX,KWI,0925,1110,105,2021,2234,133,0,
2025-05-24,Etihad,ICN,KWI,2038,2138,60,0610,0705,55,0,
2025-07-25,American Airlines,ICN,KWI,0801,0821,20,2253,2342,49,0,
2025-03-18,American Airlines,HND,DXB,2112,2223,71,0427,0606,99,0,
2024-09-10,Singapore Airlines,ICN,JFK,1337,1411,34,1148,1251,63,0,
2025-01-31,Qatar Airways,JFK,LHR,0540,0733,113,1232,1424,112,0,
2025-01-16,Qatar Airways,FRA,SYD,0538,0737,119,0911,1107,116,0,
2025-03-04,Qatar Airways,LAX,SFO,1014,0958,-16,0717,0656,-21,0,
2025-05-01,Delta,DXB,LHR,1818,1911,53,0951,1056,65,0,
2024-10-17,American Airlines,FRA,DFW,2105,2206,61,0349,0500,71,0,
2024-10-10,Qatar Airways,LAX,BOM,1945,2141,116,0602,0810,128,0,
2024-12-06,Etihad,AUH,BOM,0419,0557,98,2106,2250,104,0,
2024-08-29,Air India,FRA,JFK,0158,0233,35,1430,1515,45,0,
2025-08-10,Delta,DEL,ICN,1219,1335,76,0736,0900,84,0,
2025-04-20,FlyDubai,LAX,PEK,1454,1638,104,2104,2247,103,0,
2025-06-16,Delta,KWI,PEK,1437,1434,-3,0016,0015,-1,0,
2024-08-28,Lufthansa,HND,CDG,2011,2150,99,1912,2101,109,0,
2024-12-05,Etihad,CDG,SYD,1940,2048,68,2011,2148,97,1,Technical
2024-12-21,Singapore Airlines,JFK,LAX,1404,1501,57,1025,1125,60,0,
2025-01-14,American Airlines,SYD,SFO,2134,2233,59,2213,2303,50,0,
2025-07-13,Air India,BKK,PEK,2044,2234,110,1145,1343,118,0,
2024-09-06,Lufthansa,SIN,LAX,0744,0751,7,1828,1848,20,0,
2024-09-05,Emirates,DEL,DXB,0901,1007,66,2115,2247,92,0,
2025-04-06,Air India,KWI,ORD,0644,0822,98,0349,0535,106,0,
2025-05-14,British Airways,FRA,LAX,0955,1123,88,0343,0531,108,0,
2025-03-08,Qatar Airways,DEL,HND,0142,0233,51,1716,1809,53,0,
2025-03-18,Etihad,FRA,CDG,1239,1322,43,1848,1950,62,0,
2025-01-10,Lufthansa,BOM,AUH,0747,0940,113,2111,2323,132,0,
2025-06-18,Qatar Airways,SFO,LHR,2111,2244,93,0836,1005,89,0,
2025-03-27,Emirates,LHR,BKK,0727,0751,24,0314,0330,16,0,
2024-10-20,Air India,LAX,HND,0604,0742,98,0221,0359,98,0,
2025-07-20,American Airlines,PEK,DXB,2107,2218,71,0125,0258,93,0,
2025-02-03,FlyDubai,CDG,DEL,1057,1040,-17,0949,0926,-23,0,
2025-05-01,Delta,DFW,BKK,1813,1957,104,2237,0017,100,0,
2025-06-17,Lufthansa,SFO,CDG,0558,0658,60,1436,1544,68,0,
2024-09-10,Emirates,DEL,CDG,0132,0201,29,2207,2243,36,0,
2025-06-12,Qatar Airways,CDG,DEL,1108,1241,93,1300,1444,104,0,
2025-02-12,Etihad,CDG,DXB,0944,1142,118,0335,0556,141,0,
2024-10-28,British Airways,BOM,HND,0756,0925,89,1035,1208,93,0,
2025-04-17,Delta,DEL,JFK,1742,1749,7,1436,1448,12,0,
2025-08-26,Emirates,BKK,FRA,2034,2129,55,0616,0736,80,0,
2025-06-29,FlyDubai,SIN,HND,1702,1754,52,1041,1147,66,0,
2025-04-12,Etihad,PEK,ORD,1604,1749,105,1604,1808,124,0,
2024-12-05,FlyDubai,HND,LAX,0644,0721,37,0054,0149,55,0,
2025-02-17,Emirates,BKK,SYD,1715,1833,78,1248,1420,92,0,
2024-10-31,American Airlines,DXB,PEK,1118,1249,91,1709,1845,96,0,
2025-06-18,Qatar Airways,SIN,JFK,1929,1953,24,0924,1006,42,0,
2025-01-04,American Airlines,LHR,DOH,0229,0235,6,0952,0948,-4,0,
2025-01-03,Singapore Airlines,SIN,BKK,1646,1732,46,1433,1523,50,0,
2025-06-09,Air India,ORD,DOH,0503,0548,45,0052,0133,41,0,
2024-09-30,Etihad,JFK,FRA,1334,1504,90,1934,2133,119,0,
2025-01-26,Lufthansa,LAX,BOM,1919,2118,119,2213,0041,148,0,
2024-09-07,Etihad,FRA,CDG,0301,0322,21,1330,1418,48,0,
2025-03-12,Delta,JFK,AUH,0853,1035,102,1858,2102,124,0,
2025-04-06,Air India,KWI,ORD,1313,1508,115,1256,1507,131,0,
2025-03-31,Singapore Airlines,DOH,KWI,0206,0301,55,0236,0346,70,0,
2025-02-11,Singapore Airlines,JFK,CDG,1654,1711,17,0640,0715,35,0,
2024-09-20,Lufthansa,SFO,SYD,1905,1848,-17,1241,1221,-20,0,
2025-05-26,Qatar Airways,LAX,ORD,1024,1128,64,1137,1245,68,0,
2024-11-28,FlyDubai,DEL,SYD,1302,1500,118,0624,0850,146,0,
2025-02-23,British Airways,ICN,BOM,0819,0904,45,0201,0242,41,0,
2025-04-21,Etihad,SFO,DEL,0517,0551,34,1714,1755,41,0,
2025-06-24,British Airways,BOM,ICN,1453,1625,92,0443,0618,95,0,
2025-05-01,Singapore Airlines,ORD,SYD,0047,0054,7,1148,1209,21,0,
2025-01-02,Singapore Airlines,KWI,AUH,1630,1721,51,0546,0701,75,0,
2025-01-20,Emirates,DFW,PEK,0104,0222,78,2156,2321,85,0,
2025-02-02,Singapore Airlines,LAX,SFO,2222,2323,61,0931,1028,57,0,
2025-05-18,Lufthansa,ICN,AUH,0250,0319,29,1146,1223,37,0,
2025-03-14,Air India,DXB,CDG,1626,1653,27,2117,2145,28,0,
2025-02-11,American Airlines,FRA,LAX,0013,0036,23,0820,0853,33,0,
2025-01-26,Etihad,PEK,BKK,0247,0323,36,1932,2006,34,0,
2025-01-12,American Airlines,JFK,FRA,1218,1209,-9,0813,0800,-13,0,
2025-08-24,Qatar Airways,FRA,AUH,1314,1354,40,2244,2349,65,0,
2024-11-06,American Airlines,ORD,DFW,0609,0612,3,1446,1511,25,0,
2025-06-29,Air India,HND,FRA,2005,2154,109,0735,0935,120,0,
2025-01-14,Etihad,ICN,DFW,1819,1925,66,1505,1603,58,0,
2025-08-15,British Airways,DXB,BOM,0009,0120,71,0125,0226,61,1,Technical
2024-10-08,Emirates,KWI,HND,0223,0212,-11,0404,0422,18,0,
2024-08-31,Qatar Airways,BKK,HND,1830,1954,84,0209,0323,74,0,
2024-12-14,Air India,SIN,FRA,2207,2309,62,1819,1943,84,0,
2025-01-15,Qatar Airways,DXB,ORD,0502,0532,30,0953,1033,40,0,
2025-07-01,British Airways,PEK,DFW,0358,0357,-1,2210,2201,-9,0,
2025-07-16,Etihad,CDG,KWI,2224,2223,-1,0840,0902,22,0,
2025-05-30,Air India,BKK,DOH,0112,0216,64,1738,1855,77,0,
2025-01-27,American Airlines,SFO,BOM,2152,2331,99,0942,1145,123,0,
2025-06-30,Qatar Airways,DFW,DXB,0639,0718,39,1150,1221,31,0,
2025-02-27,Air India,SFO,BOM,1705,1742,37,0942,1036,54,0,
2024-11-07,Qatar Airways,BOM,CDG,0215,0406,111,1447,1658,131,0,
2024-12-01,British Airways,LAX,BOM,1105,1145,40,1743,1817,34,0,
2025-04-11,Air India,FRA,KWI,2113,2242,89,2232,0016,104,0,
2025-01-26,British Airways,ICN,SIN,1436,1445,9,1814,1814,0,0,
2025-04-23,British Airways,SYD,DFW,1357,1443,46,0628,0737,69,0,
2025-08-20,Air India,BKK,JFK,1212,1311,59,0710,0819,69,0,
2024-12-08,Emirates,SIN,LAX,1922,2112,110,1001,1206,125,0,
2025-01-01,FlyDubai,SFO,LHR,1522,1604,42,0010,0103,53,0,
2024-09-13,British Airways,LHR,BOM,1806,1917,71,1728,1903,95,0,
2024-11-26,British Airways,FRA,AUH,0152,0342,110,0001,0216,135,0,
2024-10-10,Air India,BOM,FRA,0240,0317,37,1137,1226,49,0,
2025-02-12,British Airways,BOM,AUH,1948,2119,91,1212,1402,110,0,
2025-02-02,Qatar Airways,ORD,PEK,0513,0459,-14,2034,2013,-21,0,
2025-02-15,Lufthansa,LHR,ICN,1513,1640,87,1300,1455,115,0,
2024-12-23,Qatar Airways,SYD,KWI,0006,2353,-13,1609,1606,-3,0,
2024-11-26,Etihad,PEK,SIN,1317,1405,48,0555,0643,48,0,
2025-02-28,Air India,BOM,ICN,2057,2054,-3,0550,0615,25,0,
2025-06-11,Air India,HND,LHR,1210,1324,74,1938,2050,72,0,
2025-05-23,Lufthansa,LHR,DFW,0548,0735,107,2220,0017,117,0,
2025-07-13,Delta,DOH,ICN,0022,0141,79,1412,1557,105,0,
2025-03-14,Singapore Airlines,DXB,AUH,1823,1805,-18,0841,0839,-2,0,
2025-06-05,British Airways,PEK,DEL,0818,0834,16,0245,0253,8,0,
2025-05-24,FlyDubai,LAX,BOM,1113,1120,7,1458,1513,15,0,
2024-10-03,Emirates,HND,LAX,2257,2244,-13,1724,1708,-16,0,
2024-09-21,Qatar Airways,SIN,PEK,2133,2200,27,0443,0513,30,0,
2025-08-06,Air India,LHR,PEK,0211,0200,-11,0832,0836,4,0,
2024-10-02,American Airlines,LHR,SIN,2049,2142,53,2028,2146,78,0,
2025-08-06,American Airlines,BOM,ORD,0930,0947,17,1136,1157,21,0,
2025-02-28,Singapore Airlines,JFK,LHR,1732,1843,71,0656,0822,86,0,
2025-01-02,British Airways,FRA,ORD,0300,0403,63,1126,1242,76,0,
2025-01-09,Singapore Airlines,KWI,PEK,1214,1211,-3,0642,0708,26,0,
2025-07-05,Lufthansa,BOM,AUH,0122,0230,68,0428,0552,84,0,
2025-07-04,Qatar Airways,JFK,DXB,0939,1002,23,1137,1209,32,0,
2024-10-20,Qatar Airways,SIN,HND,1827,1822,-5,1156,1210,14,0,
2025-03-28,American Airlines,DEL,LAX,0140,0320,100,0419,0556,97,0,
2025-06-04,Etihad,PEK,JFK,1612,1809,117,1922,2123,121,0,
2025-02-11,Lufthansa,SYD,HND,1750,1814,24,1612,1626,14,0,
2025-06-19,FlyDubai,ICN,SYD,0521,0620,59,0132,0236,64,0,
2025-05-06,British Airways,KWI,CDG,2201,2151,-10,0014,2354,-20,0,
2024-12-10,Etihad,DOH,LHR,1840,1907,27,1811,1904,53,0,
2025-01-06,FlyDubai,BOM,DOH,0605,0711,66,1231,1332,61,0,
2024-11-15,Emirates,FRA,DXB,1409,1542,93,1724,1901,97,0,
2024-09-02,Lufthansa,SFO,LHR,1617,1805,108,0713,0851,98,0,
2024-09-30,Lufthansa,DXB,CDG,1229,1329,60,1032,1130,58,0,
2025-03-02,British Airways,LHR,PEK,2018,2123,65,1411,1533,82,0,
2024-11-06,Delta,SFO,AUH,1346,1330,-16,1143,1137,-6,0,
2024-10-07,FlyDubai,JFK,BKK,1315,1348,33,2205,2307,62,0,
2025-08-25,Singapore Airlines,DFW,AUH,2054,2211,77,0228,0345,77,1,Staff Issue
2025-05-15,British Airways,SIN,SFO,0819,0927,68,2208,2315,67,0,
2025-08-01,British Airways,AUH,JFK,1130,1329,119,0208,0432,144,0,
2024-10-03,Delta,LAX,KWI,0242,0307,25,1018,1055,37,0,
2024-11-26,American Airlines,SFO,SYD,0252,0430,98,0838,1013,95,0,
